id	prompt	entry_point	canonical_solution	test_code
Natural2Code/41	"Please complete the following python function, with only one solution and no explanation and no example usage:
def noisy_word(s:str)->bool:
  """"""
  You have found one of your friends amidst the crowd. He has seen you 
  and tried to say ""vamos"", but because of the crowd sounds some more 
  characters are added to that word. You are given that noisy word. All 
  you have to do is check weather that noisy word contains the word 
  ""vamos"" in it or not. The word ""vamos"" will considered to be found in the 
  noisy word if the order of the characters in ""vamos"" remains same in 
  noisy word too.
  Return True if you can extract ""vamos"" from the noisy word; otherwise, 
  return False.
  For example:
  noisy_word(""aadvaadsmofdsads"") == True
  noisy_word(""aadaavdsmofdsads"") == False
  noisy_word("""") == False
  """"""
"	noisy_word	"  pattern = ""vamos""
  i = 0

  for j in range(len(s)):
    if s[j]==pattern[i]:
      i+=1
    if i==len(pattern):
      break
  
  if i==len(pattern):
    return True
  else:
    return False
      

"	"assert noisy_word(""twsvamowre"") == False
assert noisy_word(""letsgo"") == False
assert noisy_word(""somav"") == False
assert noisy_word(""letsvamosgo"") == True
assert noisy_word(""vamosvamosvamos"") == True"
Natural2Code/42	"Please complete the following python function, with only one solution and no explanation and no example usage:
def length_of_longest_substring_two_distinct(s:str) -> int:
    """"""
    Find the length of the longest substring with at most two distinct characters.

    Example:
    ----------
    For example, given the input s = ""eceba"", the function should return 3 because the longest substring with at most two distinct characters is ""ece"".

    Args:
        s (str): The input string.

    Returns:
        int: The length of the longest substring.
    """"""
"	length_of_longest_substring_two_distinct	"    char_count = {}
    max_length = 0
    left = 0

    for right, char in enumerate(s):
        char_count[char] = char_count.get(char, 0) + 1
        while len(char_count) > 2:
            left_char = s[left]
            char_count[left_char] -= 1
            if char_count[left_char] == 0:
                del char_count[left_char]
            left += 1

        max_length = max(max_length, right - left + 1)

    return max_length
"	"assert length_of_longest_substring_two_distinct(""eceba"") == 3
assert length_of_longest_substring_two_distinct(""aabcaac"") == 4
assert length_of_longest_substring_two_distinct(""abcabcbb"") == 4
assert length_of_longest_substring_two_distinct(""bbbbb"") == 5
assert length_of_longest_substring_two_distinct(""pwwkew"") == 3"
Natural2Code/43	"Please complete the following python function, with only one solution and no explanation and no example usage:
def sum_avgs(n: list[list[int]]) -> int:
    """"""Given an array of arrays of integers n, return the sum of the average of the element in each array.
    Assume integer division and no remainders.
    For example:
    sum_avgs([[1, 2, 3], [4, 5, 6], [7, 8, 9]]) == 15
    sum_avgs([[0, 1, 0], [3, 4, 3], [2, 4, 2]]) == 5
    sum_avgs([[10, 20, 30], [5, 7, 9], [0, 3, 2]]) == 28
    """"""
"	sum_avgs	"    sum_avg = 0
    for arrays in n:
      sum_avg += sum(arrays) // len(arrays)

    return sum_avg
"	"assert sum_avgs([[1, 2, 3], [4, 5, 6], [7, 8, 9]]) == 15
assert sum_avgs([[0, 1, 0], [3, 4, 3], [2, 4, 2]]) == 5
assert sum_avgs([[10, 20, 30], [5, 7, 9], [0, 3, 2]]) == 28
assert sum_avgs([[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]]) == 5
assert sum_avgs([[11, 22, 13], [43, 15, 46], [76, 18, 59]]) == 100"
Natural2Code/44	"Please complete the following python function, with only one solution and no explanation and no example usage:
def min_moves_to_make_divisible(a: int, b: int) -> int:
    """""" Given two positive integers'a' and 'b' (1 <= a, b <= 1e9), in one move, you can increase 'a' by 1.
Return the minimum number of moves required to make 'a' divisible by 'b' 
    For example:
    min_moves_to_make_divisible(2, 20)  == 18
    min_moves_to_make_divisible(25, 17)  == 9
    min_moves_to_make_divisible(2857, 142) == 125
    """"""
"	min_moves_to_make_divisible	"    ans = 0
    if a % b: 
        ans = b - a % b
    return ans
"	"assert min_moves_to_make_divisible(142, 2857) == 2715
assert min_moves_to_make_divisible(17, 25) == 8
assert min_moves_to_make_divisible(20, 2) == 0
assert min_moves_to_make_divisible(127, 2) == 1
assert min_moves_to_make_divisible(100, 100) == 0"
Natural2Code/45	"Please complete the following python function, with only one solution and no explanation and no example usage:
def is_divisible_number_exists(arr: list) -> bool:
    """""" Given an array 'arr' of positive integers, return 'True' if there is a number in the array such that all array elements are divisible by it; otherwise, return 'False'.
    For example:
    is_divisible_number_exists([1, 2, 3, 7, 13]) == True
    is_divisible_number_exists([2, 4, 8, 16]) == True
    is_divisible_number_exists([2,3,5,7]) == False
    """"""
"	is_divisible_number_exists	"    mn = min(arr)    
    for num in arr:
        if num % mn:
            return False
    return True
"	"assert is_divisible_number_exists([1, 2, 4, 8]) == True
assert is_divisible_number_exists([2,3,50,75,30,150]) == False
assert is_divisible_number_exists([2,4,6,8,12,16,18,20]) == True
assert is_divisible_number_exists([7, 13, 19, 37, 103]) == False
assert is_divisible_number_exists([99985]) == True"
Natural2Code/46	"Please complete the following python function, with only one solution and no explanation and no example usage:
def goldbach_conjecture(n: int) -> bool:
    """"""
    Check if a given even number can be expressed as the sum of two prime numbers (Goldbach's Conjecture).

    :param n: Even integer.
    :return: True if n can be expressed as the sum of two primes, False otherwise.
    """"""
"	goldbach_conjecture	"    if n <= 2 or n % 2 != 0:
        return False

    def is_prime(x: int) -> bool:
        if x <= 1:
            return False
        for i in range(2, int(x ** 0.5) + 1):
            if x % i == 0:
                return False
        return True

    for i in range(2, n // 2 + 1):
        if is_prime(i) and is_prime(n - i):
            return True
    return False
"	"assert goldbach_conjecture(4) == True
assert goldbach_conjecture(10) == True
assert goldbach_conjecture(20) == True
assert goldbach_conjecture(17) == False
assert goldbach_conjecture(30) == True"
Natural2Code/47	"Please complete the following python function, with only one solution and no explanation and no example usage:
def count(n: int):
    """""" Given a positive integer number, return the number of digits in a given number
    """"""
"	count	"    cnt = 0
    while n > 0:
        cnt = cnt + 1
        n = int(n/10)
    return cnt
"	"assert count(0) == 0
assert count(12) == 2
assert count(123) == 3
assert count(1234) == 4
assert count(12345) == 5"
Natural2Code/48	"Please complete the following python function, with only one solution and no explanation and no example usage:
MOD = 1000000007

def multiply(a: int, b: int) -> int:
    """"""
    returns the multiplication value of a and b modulo 10^9+7
    """"""
    return ((a%MOD)*(b%MOD))%MOD

def add(a: int, b: int) -> int:
    """"""
    returns the summation of a and b modulo 10^9+7
    """"""
    return ((a%MOD)+(b%MOD))%MOD

def sum_of_factorials_under_mod(n: int) -> list[int]:
    """"""
    Given, n. Where n can be from 1 to 1000.
    Make a list of integers of length n,   
    where the i-th value in the list is factorial of i modulo 10^9+7.
    The list is 1-based indexed, hence the range of i should be [1, n].
    For example, the list of first 6  factorials should be [1, 2, 6, 24, 120, 720].
    Return the sum of the list modulo 10^9+7.
    Example:
    factorial_values_under_mod(6) == 873
    """"""
"	sum_of_factorials_under_mod	"    # Make a list of length n where the factorial values will be put, initialised as a list populated with 0
    factorials = [0 for i in range(n)]

    # Base Cases: factorial of 1 is 1; and factorial of 2 is 2
    # 1 is subtracted from the index because lists are indexed from 0 in Python
    factorials[1-1] = 1

    # Now all other factorials using the formula: factorial(i) = factorial(i-1) * i
    for i in range(2, n+1):
        factorials[i-1] = multiply(factorials[i-1-1], i) # multiply function multiplies two numbers modulo 10^9+7    

    sum = 0
    for i in range(n):
        sum = add(sum, factorials[i])

    return sum
"	"assert sum_of_factorials_under_mod(1) == 1
assert sum_of_factorials_under_mod(2) == 3
assert sum_of_factorials_under_mod(101) == 704825958
assert sum_of_factorials_under_mod(750) == 996038460
assert sum_of_factorials_under_mod(1000) == 980630010"
Natural2Code/49	"Please complete the following python function, with only one solution and no explanation and no example usage:
def prime_factors(n):
    """"""
    Find and return a list containing the prime factors of the given integer.

    Args:
    n (int): The integer for which prime factors need to be found.

    Returns:
    list: A list containing the prime factors of the input integer.

prime_factors(20) == [2, 2, 5]
prime_factors(100) == [2, 2, 5, 5]
prime_factors(8912234) == [2, 47, 94811]
    """"""
"	prime_factors	"    factors = []
    divisor = 2

    while n > 1:
        while n % divisor == 0:
            factors.append(divisor)
            n //= divisor
        divisor += 1

    return factors

"	"assert prime_factors(50) == [2, 5, 5]
assert prime_factors(987654321) == [3, 3, 17, 17, 379721]
assert prime_factors(561383) == [61, 9203]
assert prime_factors(453235683) == [3, 1663, 90847]
assert prime_factors(999000) == [2, 2, 2, 3, 3, 3, 5, 5, 5, 37]"
Natural2Code/50	"Please complete the following python function, with only one solution and no explanation and no example usage:
def check(a:int, b:int, c:int) -> int:
  """"""
  You have given the ages of three people, and you have been told that
  the age of one person is equal to the sum of the ages of the other two.
  Find whether this statement is true or not.
  Return True if the statement is correct, or return False.
  For example:
  check(2,1,3) == True
  check(10,11,13) == False
  check(24,24,48) == True
  """"""
"	check	"  lst = []
  lst.append(a)
  lst.append(b)
  lst.append(c)
  lst.sort()
  return lst[0]+lst[1]==lst[2]
"	"assert check(1,1,1) == False
assert check(11,13,2) == True
assert check(14,10,1) == False
assert check(20,30,10) == True
assert check(17,18,19) == False"
Natural2Code/51	"Please complete the following python function, with only one solution and no explanation and no example usage:
def sum_of_cubes(n: int) -> int:
    """"""
    Given a positive integer n, return the count of two integers a and b such that
    0<=a<b<n and a^3 + b^3 = n.
    For example:
    sum_of_cubes(9) == 1
    sum_of_cubes(3) == 0
    """"""
"	sum_of_cubes	"    count = 0
    
    for i in range(0,n):
        for j in range(0,i):
            sm = i*i*i + j*j*j
            if sm==n:
                count += 1
                
    return count
"	"assert sum_of_cubes(0) == 0
assert sum_of_cubes(1) == 0
assert sum_of_cubes(15) == 0
assert sum_of_cubes(28) == 1
assert sum_of_cubes(216) == 1"
Natural2Code/52	"Please complete the following python function, with only one solution and no explanation and no example usage:
def calculate_current_from_voltage_resistance(voltage: float, resistance: float) -> float:
    """"""Calculates electric current (I) using voltage (V) and resistance (R).
    For example:
    calculate_current_from_voltage_resistance(12.0, 6.0) == 2.0
    """"""
"	calculate_current_from_voltage_resistance	"    return voltage / resistance
"	"assert calculate_current_from_voltage_resistance(12.0, 6.0) == 2.0
assert calculate_current_from_voltage_resistance(24.0, 12.0) == 2.0
assert calculate_current_from_voltage_resistance(6.0, 3.0) == 2.0
assert calculate_current_from_voltage_resistance(2.0, 1.0) == 2.0
assert calculate_current_from_voltage_resistance(0.5, 0.25) == 2.0"
Natural2Code/53	"Please complete the following python function, with only one solution and no explanation and no example usage:
def ladies_first(lst):
    """"""
    Given a nonempty list of pairs of strings.
    The first string is a name.
    The second string is either a ""Male"" or ""Female"".
    Return a list of all the Female names sorted first then all the Male names sorted.
    """"""
"	ladies_first	"
    females = []
    males = []
    for pair in lst:
        name, gender = pair
        if gender == ""Female"":
            females.append(name)
        else:
            males.append(name)

    females.sort()
    males.sort()

    females.extend(males)
    return females
"	"assert ladies_first([(""Eve"", ""Female""), (""Adam"", ""Male""), (""Bob"", ""Male"")]) == ['Eve', 'Adam', 'Bob']
assert ladies_first([(""Jack"", ""Male""), (""Alice"", ""Female""), (""Charlie"", ""Male""), (""Teddy"", ""Male""), (""Julia"", ""Female"")]) == ['Alice', 'Julia', 'Charlie', 'Jack', 'Teddy']
assert ladies_first([(""Bob"", ""Male""), (""Roxi"", ""Female""), (""Marlen"", ""Female"")]) == ['Marlen', 'Roxi', 'Bob']
assert ladies_first([(""Bob"", ""Male"")]) == ['Bob']
assert ladies_first([(""name1"", ""Female""), (""name3"", ""Female""), (""name2"", ""Female"")]) == ['name1', 'name2', 'name3']"
Natural2Code/54	"Please complete the following python function, with only one solution and no explanation and no example usage:
from typing import Tuple, Union

def line_equation(segment: Tuple[Tuple[int, int], Tuple[int, int]]) -> Tuple[int, int, int]:
    x1, y1 = segment[0]
    x2, y2 = segment[1]
    A = y1 - y2
    B = x2 - x1
    C = x1*y2 - x2*y1
    return A, B, C

def intersection_point(
    segment1: Tuple[Tuple[int, int], Tuple[int, int]],
    segment2: Tuple[Tuple[int, int], Tuple[int, int]],
) -> Union[Tuple[float, float], None]:
    """"""
    Finds the intersection between two line segments.
    """"""
"	intersection_point	"    
    A1, B1, C1 = line_equation(segment1)
    A2, B2, C2 = line_equation(segment2)
    
    D = A1*B2 - A2*B1
    if D == 0:
        return None
    
    D1 = B1*C2 - B2*C1
    D2 = C1*A2 - C2*A1
    
    x = D1/D
    y = D2/D
    
    p, q = segment1[0]
    r, s = segment1[1]
    u, v = segment2[0]
    w, z = segment2[1]
    
    x_on_segment1 = p<=x<=r or r<=x<=p
    y_on_segment1 = q<=y<=s or s<=y<=q
    x_on_segment2 = u<=x<=w or w<=x<=u
    y_on_segment2 = v<=y<=z or z<=y<=v
        
    if x_on_segment1 and y_on_segment1 and x_on_segment2 and y_on_segment2:
        return x, y
    else:
        return None
"	"assert intersection_point(((0, 0), (4, 4)), ((0, 4), (4, 0))) == (2.0, 2.0)
assert intersection_point(((0, 0), (4, 0)), ((0, 1), (4, 1))) == None   
assert intersection_point(((1, 1), (3, 3)), ((3, 1), (5, 3))) == None
assert intersection_point(((0, 0), (4, 4)), ((0, 4), (2, 2))) == (2.0, 2.0)
assert intersection_point(((0, 0), (4, 0)), ((4, 0), (4, 4))) == (4.0, 0.0)"
Natural2Code/55	"Please complete the following python function, with only one solution and no explanation and no example usage:
def f(n: int) -> int:
    """"""
        For a positive integer n let's define a function f:
        f(n) = -1 + 2 - 3 + ... ((-1) ^ n) * n
        Your task is to calculate f(n) for a given n.
    """"""
"	f	"    if n % 2 == 0:
        return n // 2
    else:
        return (n - 1) // 2 - n
"	"assert f(1) == -1
assert f(2) == 1
assert f(5) == -3
assert f(14) == 7
assert f(25) == -13
assert f(100) == 50"
Natural2Code/56	"Please complete the following python function, with only one solution and no explanation and no example usage:
import math
def Sieve(n):
  """"""
  Given a positive integer n, return all prime numbers from 1 to n.
  """"""
"	Sieve	"  prime = [True] * (n + 1)

  primes = []

  prime[0] = prime[1] = False

  for i in range(2, int(math.sqrt(n) + 1)):
    if prime[i] == True:
      for j in range(i * i, n + 1, i):
        prime[j] = False

  for i in range(2, n + 1):
    if prime[i] == True:
      primes.append(i)
  
  return primes
"	"assert Sieve(1) == []
assert Sieve(10) == [2, 3, 5, 7]
assert Sieve(30) == [2, 3, 5, 7, 11, 13, 17, 19, 23, 29]
assert Sieve(40) == [2, 3, 5, 7, 11, 13, 17, 19, 23, 29, 31, 37]
assert Sieve(50) == [2, 3, 5, 7, 11, 13, 17, 19, 23, 29, 31, 37, 41, 43, 47]"
Natural2Code/57	"Please complete the following python function, with only one solution and no explanation and no example usage:
def smallest_item(a: list[int], b: list[int]) -> int:
    """"""Given 2 arrays a and b, return the smallest item in the arrays.
    For example:
    smallest_item([1, 2, 3], [4, 5, 6]) == 1
    smallest_item([9, 8, 1], [2, 5, 8]) == 1
    smallest_item([1, 1, 1], [2, 2, 2]) == 1
    """"""
"	smallest_item	"    sa = min(a)
    sb = min(b)
    if sa < sb:
      return sa
    return sb
"	"assert smallest_item([1, 2, 3], [4, 5, 6]) == 1
assert smallest_item([9, 8, 1], [2, 5, 8]) == 1
assert smallest_item([3.2, 4.1, 2.2], [5.1, 2.5, 3.1]) == 2.2
assert smallest_item([14, 28, 54, 77, 90, 70, 78, 23], [50, 14, 22, 73]) == 14
assert smallest_item([-12, 36, -27, 92, 78, 70, 33], [-61, 25, -91, 44]) == -91"
Natural2Code/58	"Please complete the following python function, with only one solution and no explanation and no example usage:
def verify_string(s: str, m: int) -> bool:
    """"""Given a string and an integer, return True if the integer is not equal to the number of digits in the string and False otherwise.
    For example:
    verify_string('a1k23m', 4) == True 
    verify_string('a1k23m', 3) == False
    """"""
"	verify_string	"    cnt=sum([ch.isdigit() for ch in s])
    return cnt != m
"	"assert verify_string('9482', 0) == True
assert verify_string('a%&(@!9', 1) == False
assert verify_string('a', -113) == True
assert verify_string('', -5) == True
assert verify_string('', 0) == False"
Natural2Code/59	"Please complete the following python function, with only one solution and no explanation and no example usage:
def min_bishops_to_cover_diagonals(n):
    """"""
    Find the minimum number of bishops required to cover all the main diagonals of an n x n chessboard.

    :param n: The size of the chessboard (n x n).
    :return: The minimum number of bishops needed.

    For example:
    min_bishops_to_cover_diagonals(1) == 1
    """"""
"	min_bishops_to_cover_diagonals	"    return n
"	"assert min_bishops_to_cover_diagonals(1) == 1
assert min_bishops_to_cover_diagonals(2) == 2
assert min_bishops_to_cover_diagonals(3) == 3
assert min_bishops_to_cover_diagonals(4) == 4
assert min_bishops_to_cover_diagonals(5) == 5"
Natural2Code/60	"Please complete the following python function, with only one solution and no explanation and no example usage:
import math
def odd_and_even(lst: list[int]) -> int:
    """""" There was a wise old math wizard who lived in a magical kingdom of numbers.
    He has a list of integers and needs to find the GCD and the LCM of the sum of the odd numbers and the sum of the even numbers.
    And then, He wants to find the minimum between the number of odd numbers and the number of even numbers and name it min_num.
    The final step is to find the multiplication of the GCD and the LCM module by the square of the min_num.
    For example:
    assert odd_and_even([6, 9, 4, 12, 89, 26, 57]) == 6
    assert odd_and_even([1, 2, 3, 4]) == 0
    """"""
"	odd_and_even	"    sum_odd = 0
    sum_even = 0
    num_odd = 0
    num_even = 0
    for num in lst:
        if num % 2 == 0:
            sum_even += num
            num_even += 1
        else:
            sum_odd += num
            num_odd += 1

    gcd_of_sums = math.gcd(sum_odd, sum_even)
    lcm_of_sums = (sum_odd * sum_even) // gcd_of_sums
    min_num = min(num_odd, num_even)

    return gcd_of_sums * lcm_of_sums % (min_num ** 2)
"	"assert odd_and_even([1, 2, 3, 4, 5, 6, 7, 8, 9, 10]) == 0
assert odd_and_even([1, 2, 3, 4, 5]) == 2 
assert odd_and_even([32, 22, 13, 7, 4, 9, 16, 20]) == 8
assert odd_and_even([26, 56, 15, 23, 89, 120, 77]) == 6
assert odd_and_even([13, 20, 56, 48, 120, 452, 694, 756, 793, 155, 333]) == 12"
Natural2Code/61	"Please complete the following python function, with only one solution and no explanation and no example usage:
import math

def calculate_lorentz_factor(velocity: float) -> float:
    """"""
    Calculate the Lorentz factor (gamma) for an object moving at a given velocity relative to an observer.

    :param velocity: The velocity of the object (in fractions of the speed of light).
    :return: The Lorentz factor.
    
    For example:
    calculate_lorentz_factor(0.5) == 1.1547005383792515
    """"""
"	calculate_lorentz_factor	"    return 1 / math.sqrt(1 - velocity**2)
"	"assert math.isclose(calculate_lorentz_factor(0.5), 1.1547005383792515, rel_tol=1e-9)
assert math.isclose(calculate_lorentz_factor(0.9), 2.294157338705618, rel_tol=1e-9)
assert math.isclose(calculate_lorentz_factor(0.2), 1.0206207261596576, rel_tol=1e-9)
assert math.isclose(calculate_lorentz_factor(0.99), 7.088812050083261, rel_tol=1e-9)
assert math.isclose(calculate_lorentz_factor(0.0), 1.0, rel_tol=1e-9)"
Natural2Code/62	"Please complete the following python function, with only one solution and no explanation and no example usage:
def fix( s = str) -> str :
 """""" Given string s, remove all non-lowercase English characters from it then return string after fixing
     For example:
     fix(""r.a.n.i.a"") == ""rania""
     fix(""............1234"") == """"
 """"""
"	fix	" ret = """"
 for i in s :
     if  i >= 'a' and i <= 'z' :
         ret += i
 return ret
"	"assert fix(""@hmaleQærvcf"") == ""hmalervcf""
assert fix(""^xü3↕twyycpvkf"") == ""xtwyycpvkf""
assert fix(""zÉka"") == ""zka""
assert fix(""XrnDc♂æ↕y→£7"") == ""rncy""
assert fix(""P"") == """""
Natural2Code/63	"Please complete the following python function, with only one solution and no explanation and no example usage:

def newton_sqrt(number: float, epsilon: float = 1e-6) -> float:
    """"""Approximates the square root of a number using the Newton-Raphson method.

    Args:
        number (float): The number for which the square root is to be approximated.
        epsilon (float): The tolerance for convergence (default is 1e-6).

    For Example:
    newton_sqrt(16) == 4.0
    """"""
"	newton_sqrt	"    guess = number / 2.0
    while abs(guess * guess - number) > epsilon:
        guess = 0.5 * (guess + number / guess)
    return guess 

"	"assert abs(newton_sqrt(16) - 4.0) < 1e-6
assert abs(newton_sqrt(25) - 5.0) < 1e-6
assert abs(newton_sqrt(9) - 3.0) < 1e-6
assert abs(newton_sqrt(2) - 1.4142135623730951) < 1e-6
assert abs(newton_sqrt(100) - 10.0) < 1e-6"
Natural2Code/64	"Please complete the following python function, with only one solution and no explanation and no example usage:
import sympy

def next_non_perfect_prime(n: int) -> int:
    """"""Returns the next non-perfect prime number greater than the given integer n.
    A non-perfect prime number is a prime number with and odd number of prime digits.
    For example:
    next_non_perfect_prime(2) == 3
    next_non_perfect_prime(3) == 5
    next_non_perfect_prime(5) == 7
    """"""
"	next_non_perfect_prime	"    def is_non_perfect_prime(k: int) -> bool:
        """"""Checks if the given integer k is a non-perfect prime number.
        A non-perfect prime number is a prime number with an odd number of prime digits.
        For example:
        is_non_perfect_prime(2) == True
        is_non_perfect_prime(3) == True 
        is_non_perfect_prime(5) == True
        """"""
        if not sympy.isprime(k):
            return False
        
        n_prime_digits = 0
        for digit in str(k):
            digit = int(digit)
            if sympy.isprime(digit):
                n_prime_digits += 1

        return n_prime_digits&1

    n = sympy.nextprime(n)
    while not is_non_perfect_prime(n):
        n = sympy.nextprime(n)

    return n
"	"assert next_non_perfect_prime(-1) == 2
assert next_non_perfect_prime(0) == 2
assert next_non_perfect_prime(20) == 29
assert next_non_perfect_prime(25) == 29
assert next_non_perfect_prime(1000) == 1013"
Natural2Code/65	"Please complete the following python function, with only one solution and no explanation and no example usage:
def evenNumberCount(n) -> int:
    """"""Given a positive integer n, return the count of even numbers in it.
        Return 0 if all digits are odd.
        For example:
        evenNumberCount(48154185418454781548956298) == 14
        evenNumberCount(887413495814) == 6
        evenNumberCount(123456789) == 4
        evenNumberCount(135971997) == 0
        evenNumberCount(2846848) == 7
        """"""
"	evenNumberCount	"    Count = 0
    String = str(n)

    for digit in String:
        if int(digit)%2 == 0:
            Count += 1
        else:
            continue

    return Count
"	"assert evenNumberCount(48154185418454781548956298) == 14
assert evenNumberCount(887413495814) == 6
assert evenNumberCount(123456789) == 4
assert evenNumberCount(135971997) == 0
assert evenNumberCount(2846848) == 7
assert evenNumberCount(8484848756418) == 10
assert evenNumberCount(11111114) == 1"
Natural2Code/66	"Please complete the following python function, with only one solution and no explanation and no example usage:
def is_valid_parenthesis(s: str) -> bool:
    """""" Given a string as a sequence of characters '(', ')', '{', '}', '[' and ']'. 
    Return true if the parenthesis is valid, false otherwise. 
    For example:
    is_valid_parenthesis('({[]})') == True
    is_valid_parenthesis('({[]}}') == False
    """"""
"	is_valid_parenthesis	"    map = {')':'(', '}':'{', ']':'['}
    st = []
    for c in s:
        if len(st) == 0 or not c in map.keys():
            st.append(c)
        elif map.get(c) == st[len(st)-1]:
            st.pop()
        else:
            st.append(c)

    return len(st) == 0
"	"assert is_valid_parenthesis('(') == False
assert is_valid_parenthesis(')') == False
assert is_valid_parenthesis('([]{})') == True
assert is_valid_parenthesis('({[]})') == True
assert is_valid_parenthesis('(({[]})))') == False"
Natural2Code/67	"Please complete the following python function, with only one solution and no explanation and no example usage:
def calculate_bell_number(n: int) -> int:
    """"""
    Calculate the nth Bell number.

    For example:
    assert calculate_bell_number(3) == 5
    """"""
"	calculate_bell_number	"    bell = [[0 for _ in range(n + 1)] for _ in range(n + 1)]
    bell[0][0] = 1
    for i in range(1, n + 1):
        bell[i][0] = bell[i - 1][i - 1]
        for j in range(1, i + 1):
            bell[i][j] = bell[i - 1][j - 1] + bell[i][j - 1]
    return bell[n][0]
"	"assert calculate_bell_number(20) == 51724158235372
assert calculate_bell_number(15) == 1382958545
assert calculate_bell_number(32) == 128064670049908713818925644
assert calculate_bell_number(7) == 877
assert calculate_bell_number(3) == 5"
Natural2Code/68	"Please complete the following python function, with only one solution and no explanation and no example usage:
def find_nth_fibonacci(n: int) -> int:
   """"""
   Finds and returns the Nth Fibonacci number to find (0-based).
   
   Args:
   n (int): The index of the Fibonacci number to find (0-based).

   Returns:
   int: The Nth Fibonacci number.
   """"""
"	find_nth_fibonacci	"   if n == 0:
      return 0
   elif n == 1:
      return 1
   else:
      a, b = 0, 1
      for _ in range(2, n+1):
         a, b = b, a + b
      return b
"	"assert find_nth_fibonacci(0) == 0
assert find_nth_fibonacci(1) == 1
assert find_nth_fibonacci(5) == 5
assert find_nth_fibonacci(10) == 55
assert find_nth_fibonacci(20) == 6765"
Natural2Code/69	"Please complete the following python function, with only one solution and no explanation and no example usage:
def furthest(nums: list[int], m: int) -> int:
    """"""Given a non-empty list of integers nums and an integer m, return the integer which has the highest distance from m and exists in nums.
    Define 'distance' between two integers as the absolute difference in value.
    If multiple integers satisfy the given criteria, return the smallest one.
    For example:
    furthest([-10, 0, 10], 15) == -10
    furthest([0, 10], 5) == 0
    """"""
"	furthest	"    ans = nums[0]
    for num in nums:
        if abs(num - m) > abs(ans - m):
            ans = num
        elif abs(num - m) == abs(ans - m):
            ans = min(ans, num)
    return ans
"	"assert furthest([5, 10, 30], 15) == 30
assert furthest([9, 8, 11], 10) == 8
assert furthest([-31, -41, -43], -20) == -43
assert furthest([1, 2, 3, 4, 5], 3) == 1
assert furthest([1, 2, 3, 4, 5], 2) == 5"
Natural2Code/70	"Please complete the following python function, with only one solution and no explanation and no example usage:
import numpy as np
def naive_base_prop(a :float , b: float, ab : float) -> float:
    """"""
      :param a: P(A)
      :param b: P(B)
      :param ab: P(A|B)
      :return: P(B|A)
      Given probability of a P(a), probaility of b P(b), and probability of a given b P(a|b)
      return probability of b given a P(b|a) 
       For example:
      naive_base_prop(0.001, 0.05, 0.98)=0.02
      naive_base_prop(0.233, 0.8, 0.9)=0.26
      naive_base_prop(0.56, 0.5, 0.01)=0.01
    """"""
"	naive_base_prop	"    return round((a * ab / b),2)
"	"assert naive_base_prop(0.18, 0.3, 0.77)== 0.46
assert naive_base_prop(0.01, 0.99, 0.001) == 0.0
assert naive_base_prop(0.5, 0.5, 0.5) == 0.5
assert naive_base_prop(0.99, 0.1, 0.85) == 8.41"
Natural2Code/71	"Please complete the following python function, with only one solution and no explanation and no example usage:
def duplicate_removal(l: list) -> list:
    """"""Given a list of integers l, remove all duplicate occurrences of the integers except for the first occurrence while maintaining the original order of the integers. Return the modified list with duplicates removed.
    It is guaranteed that the length of the list l is at least one.
    For example:
    duplicate_removal([1, 2, 1, 3, 2]) == [1, 2, 3]
    duplicate_removal([2, 2, 2, 3]) == [2, 3]
    """"""
"	duplicate_removal	"    duplicates_removed_l = []
    unique_integers = set()
    for x in l:
        if x not in unique_integers:
            duplicates_removed_l.append(x)
            unique_integers.add(x)
    return duplicates_removed_l
"	"assert duplicate_removal([0, 0, 0, 0, 0]) == [0]
assert duplicate_removal([-1, 1]) == [-1, 1]
assert duplicate_removal([4, 2, 3, 2, 1, 2, 0]) == [4, 2, 3, 1, 0]
assert duplicate_removal([3, 1, 4, 1, 5]) == [3, 1, 4, 5]
assert duplicate_removal([23, 12, 21, 11, 12, 13, 22, 23, 24, 11]) == [23, 12, 21, 11, 13, 22, 24]"
Natural2Code/72	"Please complete the following python function, with only one solution and no explanation and no example usage:
def max_abs(nums: list[int]) -> int:
    """"""Given a non-empty list of integers, return the integer with the maximum absolute value.
    For example:
    max_abs([4, 5, 3, 2]) == 5
    max_abs([-99, 0 15]) == -99
    """"""
"	max_abs	"    mx = nums[0]
    for num in nums:
        if abs(num) > abs(mx):
            mx = num
    return mx
"	"assert max_abs([-10, 5, -1]) == -10
assert max_abs([0]) == 0
assert max_abs([9, -15]) == -15
assert max_abs([9, -5, 3, -2]) == 9
assert max_abs([100, -14, -12, 3, 1]) == 100
assert max_abs([-100, 14, 90, -3, -1]) == -100"
